method vars sample run_id time median p95 total stream warmup drift retrain_every status
Stacking-Online 2 200 0 0.001265 0.001246 0.001376 0.003795 3 100 1x 77 ok
Stacking-Online 8 200 0 0.003155 0.003233 0.003286 0.009464 3 100 1x 77 ok
Stacking-Online 32 200 0 0.071332 0.070674 0.072515 0.213995 3 100 1x 77 ok
Stacking-Online 2 800 0 0.001059 0.001074 0.001094 0.003177 3 400 1x 77 ok
Stacking-Online 8 800 0 0.002352 0.002279 0.002492 0.007055 3 400 1x 77 ok
Stacking-Online 32 800 0 0.048783 0.048766 0.049502 0.146348 3 400 1x 77 ok
Stacking-Online 2 3200 0 0.001148 0.001069 0.001283 0.003444 3 1600 1x 77 ok
Stacking-Online 8 3200 0 0.003739 0.003694 0.003973 0.011217 3 1600 1x 77 ok
Stacking-Online 32 3200 0 0.034533 0.034275 0.035514 0.103599 3 1600 1x 77 ok
