method	precision	recall	F1	brier
Stacking-Online	0.828326	0.83913	0.833693	0.128812
Stacking-Offline	0.514768	0.530435	0.522484	0.451349
BMA	0.509009	0.491304	0.5	0.337077
Best-Logit	0.513514	0.495652	0.504425	0.483993
