method	precision	recall	F1	brier
Stacking-Online	0.982979	0.982979	0.982979	0.017385
Stacking-Offline	0.893162	0.889362	0.891258	0.113229
BMA	0.881279	0.821277	0.85022	0.128761
Best-Logit	0.891892	0.842553	0.866521	0.126521
