method vars sample run_id time median p95 total stream warmup drift retrain_every status
BMA 64 6400 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 6400 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 2 12800 0 0.003623 0.000053 0.000063 23.186503 6400 6400 6x 100 ok
Stacking-Online 2 12800 0 0.005475 0.005379 0.005399 35.040201 6400 6400 6x 100 ok
BMA 4 12800 0 0.004387 0.000053 0.000063 28.075727 6400 6400 6x 100 ok
Stacking-Online 4 12800 0 0.009462 0.009402 0.009428 60.556247 6400 6400 6x 100 ok
BMA 8 12800 0 0.010003 0.000054 0.000065 64.019962 6400 6400 6x 100 ok
Stacking-Online 8 12800 0 0.020912 0.020806 0.020858 133.836109 6400 6400 6x 100 ok
BMA 16 12800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 16 12800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 32 12800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 12800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 12800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 12800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 2 25600 0 0.007141 0.000055 0.000064 91.408293 12800 12800 6x 100 ok
Stacking-Online 2 25600 0 0.005453 0.005358 0.005380 69.795677 12800 12800 6x 100 ok
BMA 4 25600 0 0.008522 0.000055 0.000064 109.087320 12800 12800 6x 100 ok
Stacking-Online 4 25600 0 0.008285 0.008254 0.008276 106.048547 12800 12800 6x 100 ok
BMA 8 25600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 8 25600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 16 25600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 16 25600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 32 25600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 25600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 25600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 25600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
