method	precision	recall	F1	brier
Stacking-Online	0.632653	0.5	0.558559	0.209181
Stacking-Offline	0.664062	0.456989	0.541401	0.207451
BMA	0.656934	0.483871	0.557276	0.207501
Best-Logit	0.659259	0.478495	0.554517	0.208374
