method	precision	recall	F1	brier
Stacking-Online	0.635659	0.5	0.559727	0.18789
Stacking-Offline	0.625	0.487805	0.547945	0.187405
BMA	0.613139	0.512195	0.55814	0.188732
Best-Logit	0.614815	0.506098	0.555184	0.189372
