method	precision	recall	F1	brier
Stacking-Online	0.533058	0.570796	0.551282	0.252183
Stacking-Offline	0.585938	0.331858	0.423729	0.301623
BMA	0.532847	0.323009	0.402204	0.30407
Best-Logit	0.525926	0.314159	0.393352	0.305442
