method	precision	recall	F1	brier
Stacking-Online	0.519298	0.627119	0.568138	0.252854
Stacking-Offline	0.546875	0.29661	0.384615	0.33456
BMA	0.510949	0.29661	0.375335	0.338615
Best-Logit	0.503704	0.288136	0.366577	0.340352
