method	precision	recall	F1	brier
Stacking-Online	0.640625	0.525641	0.577465	0.175214
Stacking-Offline	0.632812	0.519231	0.570423	0.174902
BMA	0.620438	0.544872	0.580205	0.175222
Best-Logit	0.622222	0.538462	0.57732	0.175465
