method	precision	recall	F1	brier
Stacking-Online	0.515337	0.407767	0.455285	0.246292
Stacking-Offline	0.539062	0.334951	0.413174	0.268153
BMA	0.562044	0.373786	0.44898	0.272575
Best-Logit	0.562963	0.368932	0.445748	0.274612
