method	precision	recall	F1	brier
Stacking-Online	0.641221	0.488372	0.554455	0.196847
Stacking-Offline	0.640625	0.476744	0.546667	0.196393
BMA	0.620438	0.494186	0.550162	0.198239
Best-Logit	0.622222	0.488372	0.547231	0.198923
