method	precision	recall	F1	brier
Stacking-Online	0.552632	0.552632	0.552632	0.226627
Stacking-Offline	0.625	0.421053	0.503145	0.231082
BMA	0.591241	0.426316	0.495413	0.232812
Best-Logit	0.585185	0.415789	0.486154	0.233459
