method	precision	recall	F1	brier
Stacking-Online	0.589404	0.463542	0.51895	0.226201
Stacking-Offline	0.607692	0.411458	0.490683	0.236788
BMA	0.620438	0.442708	0.516717	0.238316
Best-Logit	0.622222	0.4375	0.513761	0.239419
