method	precision	recall	F1	brier
Stacking-Online	0.581871	0.731618	0.648208	0.255048
Stacking-Offline	0.507812	0.238971	0.325	0.371373
BMA	0.49635	0.25	0.332518	0.376874
Best-Logit	0.496296	0.246324	0.329238	0.379671
