method	precision	recall	F1	brier
Stacking-Online	0.623288	0.478947	0.541667	0.216881
Stacking-Offline	0.609375	0.410526	0.490566	0.227943
BMA	0.583942	0.421053	0.489297	0.230505
Best-Logit	0.585185	0.415789	0.486154	0.231348
