method vars sample run_id time
Best-Logit 64 12800 1 200.0000
Best-Logit 64 12800 2 200.0000
Best-Logit 64 12800 3 200.0000
Best-Logit 64 12800 4 200.0000
Best-Logit 64 12800 5 200.0000
Best-Logit 64 12800 6 200.0000
Best-Logit 64 12800 7 200.0000
Best-Logit 64 12800 8 200.0000
Best-Logit 64 12800 9 200.0000
Best-Logit 2 25600 0 0.0843
Best-Logit 2 25600 1 0.0839
Best-Logit 2 25600 2 0.0807
Best-Logit 2 25600 3 0.0839
Best-Logit 2 25600 4 0.0821
Best-Logit 2 25600 5 0.0813
Best-Logit 2 25600 6 0.0818
Best-Logit 2 25600 7 0.0841
Best-Logit 2 25600 8 0.0812
Best-Logit 2 25600 9 0.0842
Best-Logit 4 25600 0 0.2827
Best-Logit 4 25600 1 0.2826
Best-Logit 4 25600 2 0.2822
Best-Logit 4 25600 3 0.2824
Best-Logit 4 25600 4 0.2797
Best-Logit 4 25600 5 0.2826
Best-Logit 4 25600 6 0.2796
Best-Logit 4 25600 7 0.2818
Best-Logit 4 25600 8 0.2822
Best-Logit 4 25600 9 0.2844
Best-Logit 8 25600 0 4.7598
Best-Logit 8 25600 1 4.7072
Best-Logit 8 25600 2 4.7396
Best-Logit 8 25600 3 4.7338
Best-Logit 8 25600 4 4.7443
Best-Logit 8 25600 5 4.7442
Best-Logit 8 25600 6 4.7518
Best-Logit 8 25600 7 4.7501
Best-Logit 8 25600 8 4.7410
Best-Logit 8 25600 9 4.7499
Best-Logit 16 25600 0 200.0000
Best-Logit 16 25600 1 200.0000
Best-Logit 16 25600 2 200.0000
Best-Logit 16 25600 3 200.0000
Best-Logit 16 25600 4 200.0000
Best-Logit 16 25600 5 200.0000
Best-Logit 16 25600 6 200.0000
Best-Logit 16 25600 7 200.0000
Best-Logit 16 25600 8 200.0000
Best-Logit 16 25600 9 200.0000
Best-Logit 32 25600 0 200.0000
Best-Logit 32 25600 1 200.0000
Best-Logit 32 25600 2 200.0000
Best-Logit 32 25600 3 200.0000
Best-Logit 32 25600 4 200.0000
Best-Logit 32 25600 5 200.0000
Best-Logit 32 25600 6 200.0000
Best-Logit 32 25600 7 200.0000
Best-Logit 32 25600 8 200.0000
Best-Logit 32 25600 9 200.0000
Best-Logit 64 25600 0 200.0000
Best-Logit 64 25600 1 200.0000
Best-Logit 64 25600 2 200.0000
Best-Logit 64 25600 3 200.0000
Best-Logit 64 25600 4 200.0000
Best-Logit 64 25600 5 200.0000
Best-Logit 64 25600 6 200.0000
Best-Logit 64 25600 7 200.0000
Best-Logit 64 25600 8 200.0000
Best-Logit 64 25600 9 200.0000
Best-Logit 2 400 0 0.0273
Best-Logit 2 400 1 0.0274
Best-Logit 2 400 2 0.0276
Best-Logit 2 400 3 0.0275
Best-Logit 2 400 4 0.0270
Best-Logit 2 400 5 0.0272
Best-Logit 2 400 6 0.0274
Best-Logit 2 400 7 0.0271
Best-Logit 2 400 8 0.0271
Best-Logit 2 400 9 0.0267
Best-Logit 4 400 0 0.0759
Best-Logit 4 400 1 0.0757
Best-Logit 4 400 2 0.0756
Best-Logit 4 400 3 0.0764
Best-Logit 4 400 4 0.0754
Best-Logit 4 400 5 0.0755
Best-Logit 4 400 6 0.0750
Best-Logit 4 400 7 0.0738
Best-Logit 4 400 8 0.0748
Best-Logit 4 400 9 0.0753
Best-Logit 8 400 0 1.0626
Best-Logit 8 400 1 1.0608
Best-Logit 8 400 2 1.0652
Best-Logit 8 400 3 1.0658
Best-Logit 8 400 4 1.0661
Best-Logit 8 400 5 1.0445
Best-Logit 8 400 6 1.0469
Best-Logit 8 400 7 1.0633
Best-Logit 8 400 8 1.0646
Best-Logit 8 400 9 1.0614
Best-Logit 16 400 0 200.0000
Best-Logit 16 400 1 200.0000
Best-Logit 16 400 2 200.0000
Best-Logit 16 400 3 200.0000
Best-Logit 16 400 4 200.0000
Best-Logit 16 400 5 200.0000
Best-Logit 16 400 6 200.0000
Best-Logit 16 400 7 200.0000
Best-Logit 16 400 8 200.0000
