method	precision	recall	F1	brier
Stacking-Online	0.612403	0.464706	0.528428	0.201215
Stacking-Offline	0.59375	0.447059	0.510067	0.202774
BMA	0.59854	0.482353	0.534202	0.203439
Best-Logit	0.6	0.476471	0.531148	0.203895
