method	precision	recall	F1	brier
Stacking-Online	0.763636	0.774194	0.768879	0.181647
Stacking-Offline	0.320675	0.35023	0.334802	0.606204
BMA	0.336449	0.331797	0.334107	0.392082
Best-Logit	0.306306	0.313364	0.309795	0.65215
