method	precision	recall	F1	brier
Stacking-Online	0.942982	0.914894	0.928726	0.063365
Stacking-Offline	0.869198	0.876596	0.872881	0.119009
BMA	0.881279	0.821277	0.85022	0.127208
Best-Logit	0.891892	0.842553	0.866521	0.126521
