method	precision	recall	F1	brier
Stacking-Online	0.663934	0.493902	0.566434	0.185629
Stacking-Offline	0.640625	0.5	0.561644	0.184699
BMA	0.642336	0.536585	0.584718	0.184308
Best-Logit	0.644444	0.530488	0.58194	0.184434
