method vars sample run_id time median p95 total stream warmup drift retrain_every status
Stacking-Online 4 200 5 0.008399 0.008360 0.008431 0.839875 100 100 6x 100 ok
BMA 4 200 6 0.000538 0.000057 0.000070 0.053847 100 100 6x 100 ok
Stacking-Online 4 200 6 0.008368 0.008330 0.008569 0.836786 100 100 6x 100 ok
BMA 4 200 7 0.000536 0.000057 0.000066 0.053643 100 100 6x 100 ok
Stacking-Online 4 200 7 0.008362 0.008337 0.008385 0.836234 100 100 6x 100 ok
BMA 4 200 8 0.000537 0.000057 0.000068 0.053738 100 100 6x 100 ok
Stacking-Online 4 200 8 0.008372 0.008347 0.008393 0.837174 100 100 6x 100 ok
BMA 4 200 9 0.000538 0.000057 0.000070 0.053767 100 100 6x 100 ok
Stacking-Online 4 200 9 0.008366 0.008335 0.008384 0.836634 100 100 6x 100 ok
BMA 8 200 0 0.001484 0.000058 0.000070 0.148376 100 100 6x 100 ok
Stacking-Online 8 200 0 0.019720 0.019698 0.019760 1.972037 100 100 6x 100 ok
BMA 8 200 1 0.001484 0.000057 0.000069 0.148372 100 100 6x 100 ok
Stacking-Online 8 200 1 0.019666 0.019643 0.019701 1.966579 100 100 6x 100 ok
BMA 8 200 2 0.001481 0.000059 0.000068 0.148067 100 100 6x 100 ok
Stacking-Online 8 200 2 0.019767 0.019735 0.019817 1.976722 100 100 6x 100 ok
BMA 8 200 3 0.001476 0.000056 0.000069 0.147580 100 100 6x 100 ok
Stacking-Online 8 200 3 0.019742 0.019703 0.019769 1.974223 100 100 6x 100 ok
BMA 8 200 4 0.001482 0.000058 0.000068 0.148248 100 100 6x 100 ok
Stacking-Online 8 200 4 0.019791 0.019769 0.019845 1.979116 100 100 6x 100 ok
BMA 8 200 5 0.001486 0.000058 0.000071 0.148606 100 100 6x 100 ok
Stacking-Online 8 200 5 0.019827 0.019796 0.019913 1.982660 100 100 6x 100 ok
BMA 8 200 6 0.001477 0.000058 0.000079 0.147704 100 100 6x 100 ok
Stacking-Online 8 200 6 0.019709 0.019674 0.019808 1.970929 100 100 6x 100 ok
BMA 8 200 7 0.001476 0.000058 0.000069 0.147583 100 100 6x 100 ok
Stacking-Online 8 200 7 0.019836 0.019816 0.019875 1.983566 100 100 6x 100 ok
BMA 8 200 8 0.001482 0.000057 0.000069 0.148249 100 100 6x 100 ok
Stacking-Online 8 200 8 0.019769 0.019742 0.019805 1.976869 100 100 6x 100 ok
BMA 8 200 9 0.001475 0.000058 0.000071 0.147531 100 100 6x 100 ok
Stacking-Online 8 200 9 0.019496 0.019466 0.019529 1.949555 100 100 6x 100 ok
BMA 16 200 0 0.009739 0.000056 0.000067 0.973884 100 100 6x 100 ok
Stacking-Online 16 200 0 0.053784 0.053740 0.054080 5.378420 100 100 6x 100 ok
BMA 16 200 1 0.009726 0.000056 0.000071 0.972591 100 100 6x 100 ok
Stacking-Online 16 200 1 0.055412 0.053493 0.053787 5.541239 100 100 6x 100 ok
BMA 16 200 2 0.009725 0.000057 0.000068 0.972493 100 100 6x 100 ok
Stacking-Online 16 200 2 0.053312 0.053264 0.053520 5.331184 100 100 6x 100 ok
BMA 16 200 3 0.009720 0.000056 0.000068 0.971986 100 100 6x 100 ok
Stacking-Online 16 200 3 0.053842 0.053801 0.053990 5.384202 100 100 6x 100 ok
BMA 16 200 4 0.009749 0.000056 0.000068 0.974875 100 100 6x 100 ok
Stacking-Online 16 200 4 0.053699 0.053652 0.053939 5.369910 100 100 6x 100 ok
BMA 16 200 5 0.009738 0.000057 0.000067 0.973755 100 100 6x 100 ok
Stacking-Online 16 200 5 0.053542 0.053434 0.054299 5.354232 100 100 6x 100 ok
BMA 16 200 6 0.009721 0.000057 0.000068 0.972122 100 100 6x 100 ok
Stacking-Online 16 200 6 0.053509 0.053458 0.053715 5.350883 100 100 6x 100 ok
BMA 16 200 7 0.009734 0.000056 0.000068 0.973366 100 100 6x 100 ok
Stacking-Online 16 200 7 0.053505 0.053392 0.054447 5.350452 100 100 6x 100 ok
BMA 16 200 8 0.009715 0.000056 0.000068 0.971546 100 100 6x 100 ok
Stacking-Online 16 200 8 0.053652 0.053622 0.053822 5.365244 100 100 6x 100 ok
BMA 16 200 9 0.009715 0.000056 0.000067 0.971479 100 100 6x 100 ok
Stacking-Online 16 200 9 0.053471 0.053419 0.053713 5.347150 100 100 6x 100 ok
BMA 32 200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 0 0.539245 0.538838 0.542712 53.924456 100 100 6x 100 ok
BMA 32 200 1 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 1 0.541035 0.540582 0.543743 54.103542 100 100 6x 100 ok
BMA 32 200 2 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 2 0.539672 0.538800 0.542596 53.967207 100 100 6x 100 ok
BMA 32 200 3 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 3 0.542507 0.540249 0.543771 54.250702 100 100 6x 100 ok
BMA 32 200 4 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 4 0.541248 0.541377 0.545011 54.124759 100 100 6x 100 ok
BMA 32 200 5 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 5 0.541212 0.540860 0.543722 54.121162 100 100 6x 100 ok
BMA 32 200 6 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 6 0.541098 0.539761 0.543806 54.109791 100 100 6x 100 ok
BMA 32 200 7 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 7 0.538498 0.537923 0.543822 53.849798 100 100 6x 100 ok
BMA 32 200 8 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 8 0.541307 0.540381 0.544652 54.130692 100 100 6x 100 ok
BMA 32 200 9 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 9 0.542200 0.540664 0.544162 54.220046 100 100 6x 100 ok
BMA 64 200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 200 1 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 1 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 200 2 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 2 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 200 3 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 3 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 200 4 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 4 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 200 5 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 5 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 200 6 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 6 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 200 7 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 7 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 200 8 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 8 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 200 9 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 9 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 2 400 0 0.000326 0.000054 0.000071 0.065125 200 200 6x 100 ok
Stacking-Online 2 400 0 0.004815 0.004805 0.004832 0.962927 200 200 6x 100 ok
BMA 2 400 1 0.000330 0.000055 0.000072 0.065981 200 200 6x 100 ok
Stacking-Online 2 400 1 0.004829 0.004820 0.004849 0.965822 200 200 6x 100 ok
BMA 2 400 2 0.000331 0.000055 0.000069 0.066185 200 200 6x 100 ok
Stacking-Online 2 400 2 0.004839 0.004816 0.004870 0.967844 200 200 6x 100 ok
BMA 2 400 3 0.000327 0.000054 0.000067 0.065465 200 200 6x 100 ok
Stacking-Online 2 400 3 0.004834 0.004804 0.005169 0.966852 200 200 6x 100 ok
BMA 2 400 4 0.000331 0.000056 0.000073 0.066223 200 200 6x 100 ok
Stacking-Online 2 400 4 0.004822 0.004813 0.004841 0.964385 200 200 6x 100 ok
BMA 2 400 5 0.000329 0.000056 0.000069 0.065788 200 200 6x 100 ok
Stacking-Online 2 400 5 0.004842 0.004818 0.004980 0.968335 200 200 6x 100 ok
BMA 2 400 6 0.000325 0.000054 0.000070 0.065002 200 200 6x 100 ok
Stacking-Online 2 400 6 0.004815 0.004807 0.004841 0.963023 200 200 6x 100 ok
BMA 2 400 7 0.000330 0.000055 0.000075 0.066063 200 200 6x 100 ok
Stacking-Online 2 400 7 0.004820 0.004812 0.004840 0.964059 200 200 6x 100 ok
BMA 2 400 8 0.000327 0.000055 0.000071 0.065365 200 200 6x 100 ok
Stacking-Online 2 400 8 0.004823 0.004807 0.004836 0.964604 200 200 6x 100 ok
BMA 2 400 9 0.000331 0.000056 0.000070 0.066247 200 200 6x 100 ok
Stacking-Online 2 400 9 0.004851 0.004832 0.005020 0.970291 200 200 6x 100 ok
BMA 4 400 0 0.000562 0.000056 0.000069 0.112450 200 200 6x 100 ok
Stacking-Online 4 400 0 0.006678 0.006667 0.006708 1.335660 200 200 6x 100 ok
BMA 4 400 1 0.000563 0.000056 0.000069 0.112622 200 200 6x 100 ok
Stacking-Online 4 400 1 0.006693 0.006679 0.006728 1.338685 200 200 6x 100 ok
BMA 4 400 2 0.000562 0.000055 0.000069 0.112381 200 200 6x 100 ok
Stacking-Online 4 400 2 0.006698 0.006688 0.006719 1.339545 200 200 6x 100 ok
BMA 4 400 3 0.000563 0.000056 0.000069 0.112659 200 200 6x 100 ok
Stacking-Online 4 400 3 0.006703 0.006694 0.006729 1.340596 200 200 6x 100 ok
BMA 4 400 4 0.000563 0.000055 0.000069 0.112548 200 200 6x 100 ok
Stacking-Online 4 400 4 0.006684 0.006677 0.006705 1.336879 200 200 6x 100 ok
BMA 4 400 5 0.000562 0.000055 0.000067 0.112342 200 200 6x 100 ok
Stacking-Online 4 400 5 0.006589 0.006562 0.006602 1.317800 200 200 6x 100 ok
BMA 4 400 6 0.000561 0.000055 0.000068 0.112184 200 200 6x 100 ok
Stacking-Online 4 400 6 0.006682 0.006659 0.006695 1.336429 200 200 6x 100 ok
BMA 4 400 7 0.000561 0.000055 0.000067 0.112138 200 200 6x 100 ok
Stacking-Online 4 400 7 0.006698 0.006686 0.006721 1.339651 200 200 6x 100 ok
BMA 4 400 8 0.000562 0.000055 0.000068 0.112416 200 200 6x 100 ok
Stacking-Online 4 400 8 0.006702 0.006688 0.006721 1.340488 200 200 6x 100 ok
BMA 4 400 9 0.000553 0.000054 0.000067 0.110585 200 200 6x 100 ok
Stacking-Online 4 400 9 0.006666 0.006649 0.006704 1.333111 200 200 6x 100 ok
BMA 8 400 0 0.001454 0.000056 0.000068 0.290841 200 200 6x 100 ok
Stacking-Online 8 400 0 0.012571 0.012551 0.012589 2.514277 200 200 6x 100 ok
BMA 8 400 1 0.001432 0.000055 0.000067 0.286377 200 200 6x 100 ok
Stacking-Online 8 400 1 0.012512 0.012492 0.012552 2.502374 200 200 6x 100 ok
BMA 8 400 2 0.001454 0.000057 0.000070 0.290757 200 200 6x 100 ok
Stacking-Online 8 400 2 0.012333 0.012317 0.012346 2.466520 200 200 6x 100 ok
BMA 8 400 3 0.001459 0.000056 0.000069 0.291778 200 200 6x 100 ok
Stacking-Online 8 400 3 0.012596 0.012579 0.012624 2.519223 200 200 6x 100 ok
BMA 8 400 4 0.001460 0.000056 0.000069 0.291977 200 200 6x 100 ok
Stacking-Online 8 400 4 0.012291 0.012283 0.012316 2.458273 200 200 6x 100 ok
BMA 8 400 5 0.001459 0.000056 0.000069 0.291857 200 200 6x 100 ok
Stacking-Online 8 400 5 0.012522 0.012508 0.012551 2.504353 200 200 6x 100 ok
BMA 8 400 6 0.001457 0.000055 0.000069 0.291418 200 200 6x 100 ok
Stacking-Online 8 400 6 0.012564 0.012549 0.012606 2.512841 200 200 6x 100 ok
BMA 8 400 7 0.001461 0.000057 0.000069 0.292185 200 200 6x 100 ok
Stacking-Online 8 400 7 0.012534 0.012513 0.012575 2.506815 200 200 6x 100 ok
BMA 8 400 8 0.001455 0.000056 0.000071 0.291060 200 200 6x 100 ok
Stacking-Online 8 400 8 0.012526 0.012512 0.012564 2.505141 200 200 6x 100 ok
BMA 8 400 9 0.001432 0.000055 0.000067 0.286353 200 200 6x 100 ok
Stacking-Online 8 400 9 0.012553 0.012540 0.012590 2.510665 200 200 6x 100 ok
BMA 16 400 0 0.006121 0.000058 0.000065 1.224231 200 200 6x 100 ok
Stacking-Online 16 400 0 0.024003 0.023976 0.024045 4.800550 200 200 6x 100 ok
BMA 16 400 1 0.006115 0.000058 0.000065 1.223021 200 200 6x 100 ok
Stacking-Online 16 400 1 0.023971 0.023953 0.024095 4.794299 200 200 6x 100 ok
BMA 16 400 2 0.006114 0.000058 0.000069 1.222860 200 200 6x 100 ok
Stacking-Online 16 400 2 0.023501 0.023490 0.023551 4.700285 200 200 6x 100 ok
BMA 16 400 3 0.006120 0.000058 0.000068 1.223957 200 200 6x 100 ok
Stacking-Online 16 400 3 0.023590 0.023573 0.023637 4.718077 200 200 6x 100 ok
BMA 16 400 4 0.006115 0.000058 0.000065 1.222950 200 200 6x 100 ok
Stacking-Online 16 400 4 0.023510 0.023491 0.023578 4.702088 200 200 6x 100 ok
BMA 16 400 5 0.006029 0.000058 0.000065 1.205789 200 200 6x 100 ok
Stacking-Online 16 400 5 0.023509 0.023487 0.023588 4.701745 200 200 6x 100 ok
BMA 16 400 6 0.006046 0.000057 0.000066 1.209157 200 200 6x 100 ok
Stacking-Online 16 400 6 0.023908 0.023898 0.023964 4.781636 200 200 6x 100 ok
BMA 16 400 7 0.006122 0.000059 0.000068 1.224499 200 200 6x 100 ok
Stacking-Online 16 400 7 0.023517 0.023500 0.023600 4.703353 200 200 6x 100 ok
BMA 16 400 8 0.006121 0.000058 0.000069 1.224133 200 200 6x 100 ok
Stacking-Online 16 400 8 0.023522 0.023516 0.023579 4.704436 200 200 6x 100 ok
BMA 16 400 9 0.006020 0.000057 0.000067 1.204007 200 200 6x 100 ok
Stacking-Online 16 400 9 0.023576 0.023568 0.023634 4.715145 200 200 6x 100 ok
BMA 32 400 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 0 0.504903 0.503558 0.509857 100.980633 200 200 6x 100 ok
BMA 32 400 1 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 1 0.514098 0.512363 0.519856 102.819697 200 200 6x 100 ok
BMA 32 400 2 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 2 0.508123 0.508069 0.509875 101.624516 200 200 6x 100 ok
BMA 32 400 3 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 3 0.518379 0.516964 0.520015 103.675752 200 200 6x 100 ok
BMA 32 400 4 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 4 0.507650 0.507074 0.510019 101.530067 200 200 6x 100 ok
BMA 32 400 5 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 5 0.504738 0.502631 0.508850 100.947621 200 200 6x 100 ok
BMA 32 400 6 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 6 0.512975 0.510111 0.520989 102.594913 200 200 6x 100 ok
BMA 32 400 7 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 7 0.504418 0.500882 0.508438 100.883700 200 200 6x 100 ok
BMA 32 400 8 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 8 0.504408 0.502061 0.510450 100.881543 200 200 6x 100 ok
BMA 32 400 9 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 9 0.504374 0.502792 0.508363 100.874877 200 200 6x 100 ok
BMA 64 400 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 400 1 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 1 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 400 2 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 2 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 400 3 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 3 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 400 4 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 4 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 400 5 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 5 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 400 6 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 6 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 400 7 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 7 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 400 8 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 8 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 400 9 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 9 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 2 800 0 0.000421 0.000055 0.000067 0.168389 400 400 6x 100 ok
Stacking-Online 2 800 0 0.005100 0.004857 0.005230 2.039914 400 400 6x 100 ok
BMA 2 800 1 0.000419 0.000055 0.000066 0.167500 400 400 6x 100 ok
Stacking-Online 2 800 1 0.005009 0.004842 0.004864 2.003649 400 400 6x 100 ok
BMA 2 800 2 0.000420 0.000055 0.000069 0.168199 400 400 6x 100 ok
Stacking-Online 2 800 2 0.005011 0.004836 0.004858 2.004408 400 400 6x 100 ok
BMA 2 800 3 0.000420 0.000055 0.000069 0.167858 400 400 6x 100 ok
Stacking-Online 2 800 3 0.005018 0.004853 0.004945 2.007167 400 400 6x 100 ok
BMA 2 800 4 0.000419 0.000055 0.000067 0.167534 400 400 6x 100 ok
Stacking-Online 2 800 4 0.005017 0.004860 0.004881 2.006944 400 400 6x 100 ok
BMA 2 800 5 0.000418 0.000055 0.000068 0.167237 400 400 6x 100 ok
Stacking-Online 2 800 5 0.005024 0.004837 0.004862 2.009509 400 400 6x 100 ok
BMA 2 800 6 0.000421 0.000055 0.000067 0.168338 400 400 6x 100 ok
Stacking-Online 2 800 6 0.004835 0.004834 0.004854 1.934054 400 400 6x 100 ok
BMA 2 800 7 0.000414 0.000054 0.000066 0.165708 400 400 6x 100 ok
Stacking-Online 2 800 7 0.004996 0.004840 0.004863 1.998476 400 400 6x 100 ok
BMA 2 800 8 0.000422 0.000055 0.000068 0.168602 400 400 6x 100 ok
Stacking-Online 2 800 8 0.004842 0.004835 0.004859 1.936791 400 400 6x 100 ok
BMA 2 800 9 0.000421 0.000055 0.000068 0.168594 400 400 6x 100 ok
Stacking-Online 2 800 9 0.004998 0.004847 0.004875 1.999141 400 400 6x 100 ok
BMA 4 800 0 0.000640 0.000056 0.000066 0.256033 400 400 6x 100 ok
Stacking-Online 4 800 0 0.007972 0.007802 0.007833 3.188674 400 400 6x 100 ok
BMA 4 800 1 0.000640 0.000056 0.000067 0.255809 400 400 6x 100 ok
Stacking-Online 4 800 1 0.007786 0.007781 0.007807 3.114205 400 400 6x 100 ok
BMA 4 800 2 0.000640 0.000055 0.000068 0.256086 400 400 6x 100 ok
Stacking-Online 4 800 2 0.007784 0.007780 0.007812 3.113641 400 400 6x 100 ok
BMA 4 800 3 0.000640 0.000056 0.000068 0.255816 400 400 6x 100 ok
Stacking-Online 4 800 3 0.007925 0.007754 0.007788 3.169858 400 400 6x 100 ok
BMA 4 800 4 0.000637 0.000055 0.000067 0.254922 400 400 6x 100 ok
Stacking-Online 4 800 4 0.007956 0.007781 0.007812 3.182564 400 400 6x 100 ok
BMA 4 800 5 0.000641 0.000056 0.000067 0.256529 400 400 6x 100 ok
Stacking-Online 4 800 5 0.007791 0.007778 0.007808 3.116485 400 400 6x 100 ok
BMA 4 800 6 0.000640 0.000056 0.000067 0.256157 400 400 6x 100 ok
Stacking-Online 4 800 6 0.007799 0.007788 0.007816 3.119448 400 400 6x 100 ok
BMA 4 800 7 0.000638 0.000055 0.000066 0.255036 400 400 6x 100 ok
Stacking-Online 4 800 7 0.007968 0.007797 0.007823 3.187103 400 400 6x 100 ok
BMA 4 800 8 0.000641 0.000055 0.000067 0.256246 400 400 6x 100 ok
Stacking-Online 4 800 8 0.007806 0.007805 0.007828 3.122560 400 400 6x 100 ok
BMA 4 800 9 0.000639 0.000055 0.000067 0.255670 400 400 6x 100 ok
Stacking-Online 4 800 9 0.007836 0.007813 0.008066 3.134244 400 400 6x 100 ok
BMA 8 800 0 0.001614 0.000057 0.000069 0.645427 400 400 6x 100 ok
Stacking-Online 8 800 0 0.014210 0.014199 0.014250 5.684069 400 400 6x 100 ok
BMA 8 800 1 0.001593 0.000056 0.000068 0.637175 400 400 6x 100 ok
Stacking-Online 8 800 1 0.014155 0.014146 0.014202 5.662164 400 400 6x 100 ok
BMA 8 800 2 0.001592 0.000056 0.000068 0.636600 400 400 6x 100 ok
Stacking-Online 8 800 2 0.014255 0.014234 0.014448 5.701827 400 400 6x 100 ok
BMA 8 800 3 0.001618 0.000058 0.000070 0.647386 400 400 6x 100 ok
Stacking-Online 8 800 3 0.014179 0.013983 0.014036 5.671607 400 400 6x 100 ok
BMA 8 800 4 0.001624 0.000058 0.000070 0.649410 400 400 6x 100 ok
Stacking-Online 8 800 4 0.013986 0.013973 0.014029 5.594490 400 400 6x 100 ok
BMA 8 800 5 0.001593 0.000057 0.000069 0.637239 400 400 6x 100 ok
Stacking-Online 8 800 5 0.013996 0.013991 0.014033 5.598579 400 400 6x 100 ok
BMA 8 800 6 0.001618 0.000058 0.000068 0.647014 400 400 6x 100 ok
Stacking-Online 8 800 6 0.013958 0.013944 0.014005 5.583134 400 400 6x 100 ok
BMA 8 800 7 0.001593 0.000056 0.000067 0.637081 400 400 6x 100 ok
Stacking-Online 8 800 7 0.013931 0.013922 0.013982 5.572375 400 400 6x 100 ok
BMA 8 800 8 0.001595 0.000056 0.000067 0.638068 400 400 6x 100 ok
Stacking-Online 8 800 8 0.013962 0.013955 0.014007 5.584974 400 400 6x 100 ok
BMA 8 800 9 0.001591 0.000057 0.000068 0.636392 400 400 6x 100 ok
Stacking-Online 8 800 9 0.013947 0.013942 0.013985 5.578920 400 400 6x 100 ok
BMA 16 800 0 0.007486 0.000058 0.000068 2.994563 400 400 6x 100 ok
Stacking-Online 16 800 0 0.053327 0.052178 0.052361 21.330734 400 400 6x 100 ok
BMA 16 800 1 0.007600 0.000059 0.000068 3.039903 400 400 6x 100 ok
Stacking-Online 16 800 1 0.053428 0.052290 0.052403 21.371246 400 400 6x 100 ok
BMA 16 800 2 0.007586 0.000060 0.000069 3.034496 400 400 6x 100 ok
Stacking-Online 16 800 2 0.053266 0.053277 0.053423 21.306312 400 400 6x 100 ok
BMA 16 800 3 0.007577 0.000057 0.000069 3.030912 400 400 6x 100 ok
Stacking-Online 16 800 3 0.054497 0.053313 0.053476 21.798701 400 400 6x 100 ok
BMA 16 800 4 0.007591 0.000057 0.000069 3.036415 400 400 6x 100 ok
Stacking-Online 16 800 4 0.054187 0.053008 0.053208 21.674890 400 400 6x 100 ok
BMA 16 800 5 0.007589 0.000057 0.000068 3.035515 400 400 6x 100 ok
Stacking-Online 16 800 5 0.054190 0.053005 0.053209 21.676109 400 400 6x 100 ok
BMA 16 800 6 0.007586 0.000057 0.000068 3.034458 400 400 6x 100 ok
Stacking-Online 16 800 6 0.055189 0.053243 0.053381 22.075760 400 400 6x 100 ok
BMA 16 800 7 0.007599 0.000058 0.000069 3.039606 400 400 6x 100 ok
