method vars sample run_id time median p95 total stream warmup drift retrain_every status
BMA 2 200 0 0.000277 0.000056 0.000071 0.027724 100 100 6x 100 ok
Stacking-Online 2 200 0 0.005925 0.005900 0.005937 0.592528 100 100 6x 100 ok
BMA 2 200 1 0.000278 0.000056 0.000072 0.027765 100 100 6x 100 ok
Stacking-Online 2 200 1 0.005934 0.005926 0.005963 0.593435 100 100 6x 100 ok
BMA 2 200 2 0.000279 0.000057 0.000071 0.027904 100 100 6x 100 ok
Stacking-Online 2 200 2 0.005925 0.005917 0.005951 0.592456 100 100 6x 100 ok
BMA 2 200 3 0.000278 0.000057 0.000069 0.027757 100 100 6x 100 ok
Stacking-Online 2 200 3 0.005933 0.005920 0.005959 0.593329 100 100 6x 100 ok
BMA 2 200 4 0.000278 0.000057 0.000076 0.027763 100 100 6x 100 ok
Stacking-Online 2 200 4 0.005927 0.005918 0.005951 0.592742 100 100 6x 100 ok
BMA 2 200 5 0.000277 0.000058 0.000068 0.027653 100 100 6x 100 ok
Stacking-Online 2 200 5 0.005930 0.005923 0.005954 0.593024 100 100 6x 100 ok
BMA 2 200 6 0.000277 0.000057 0.000070 0.027726 100 100 6x 100 ok
Stacking-Online 2 200 6 0.005915 0.005909 0.005936 0.591490 100 100 6x 100 ok
BMA 2 200 7 0.000276 0.000057 0.000068 0.027566 100 100 6x 100 ok
Stacking-Online 2 200 7 0.005926 0.005907 0.005948 0.592621 100 100 6x 100 ok
BMA 2 200 8 0.000278 0.000058 0.000068 0.027763 100 100 6x 100 ok
Stacking-Online 2 200 8 0.005956 0.005938 0.005970 0.595585 100 100 6x 100 ok
BMA 2 200 9 0.000277 0.000057 0.000069 0.027697 100 100 6x 100 ok
Stacking-Online 2 200 9 0.005933 0.005917 0.005946 0.593282 100 100 6x 100 ok
BMA 4 200 0 0.000536 0.000058 0.000068 0.053625 100 100 6x 100 ok
Stacking-Online 4 200 0 0.008389 0.008349 0.008534 0.838901 100 100 6x 100 ok
BMA 4 200 1 0.000540 0.000057 0.000068 0.053955 100 100 6x 100 ok
Stacking-Online 4 200 1 0.008358 0.008299 0.008576 0.835761 100 100 6x 100 ok
BMA 4 200 2 0.000537 0.000060 0.000068 0.053662 100 100 6x 100 ok
Stacking-Online 4 200 2 0.008372 0.008308 0.009199 0.837220 100 100 6x 100 ok
BMA 4 200 3 0.000539 0.000059 0.000069 0.053947 100 100 6x 100 ok
Stacking-Online 4 200 3 0.008354 0.008302 0.008913 0.835358 100 100 6x 100 ok
BMA 4 200 4 0.000538 0.000057 0.000068 0.053796 100 100 6x 100 ok
Stacking-Online 4 200 4 0.008437 0.008373 0.008679 0.843706 100 100 6x 100 ok
BMA 4 200 5 0.000536 0.000057 0.000068 0.053647 100 100 6x 100 ok
