method	precision	recall	F1	brier
Stacking-Online	0.543956	0.466981	0.502538	0.250395
Stacking-Offline	0.585938	0.353774	0.441176	0.274119
BMA	0.576642	0.372642	0.452722	0.2763
Best-Logit	0.585185	0.372642	0.455331	0.277353
