method	precision	recall	F1	brier
Stacking-Online	0.522581	0.663934	0.584838	0.260204
Stacking-Offline	0.53125	0.278689	0.365591	0.334391
BMA	0.532847	0.29918	0.383202	0.339348
Best-Logit	0.533333	0.295082	0.379947	0.342199
