method	precision	recall	F1	brier
Stacking-Online	0.81448	0.829493	0.821918	0.142941
Stacking-Offline	0.337553	0.368664	0.352423	0.595357
BMA	0.354839	0.354839	0.354839	0.37178
Best-Logit	0.31982	0.327189	0.323462	0.643004
