method	precision	recall	F1	brier
Stacking-Online	0.484	0.508403	0.495902	0.271888
Stacking-Offline	0.507812	0.273109	0.355191	0.333045
BMA	0.525547	0.302521	0.384	0.338613
Best-Logit	0.533333	0.302521	0.386059	0.341112
