method vars sample run_id time median p95 total stream warmup drift retrain_every status
BMA 8 200 5 0.002047 0.000059 0.000069 0.204729 100 100 3x 100 ok
Stacking-Online 8 200 5 0.019648 0.019610 0.019699 1.964774 100 100 3x 100 ok
BMA 8 200 6 0.002047 0.000058 0.000069 0.204673 100 100 3x 100 ok
Stacking-Online 8 200 6 0.019618 0.019592 0.019656 1.961763 100 100 3x 100 ok
BMA 8 200 7 0.002043 0.000058 0.000071 0.204300 100 100 3x 100 ok
Stacking-Online 8 200 7 0.019633 0.019609 0.019654 1.963266 100 100 3x 100 ok
BMA 8 200 8 0.002050 0.000059 0.000069 0.205022 100 100 3x 100 ok
Stacking-Online 8 200 8 0.019618 0.019591 0.019661 1.961756 100 100 3x 100 ok
BMA 8 200 9 0.002047 0.000059 0.000069 0.204731 100 100 3x 100 ok
Stacking-Online 8 200 9 0.019606 0.019577 0.019650 1.960575 100 100 3x 100 ok
BMA 16 200 0 0.014132 0.000057 0.000069 1.413160 100 100 3x 100 ok
Stacking-Online 16 200 0 0.055109 0.055124 0.055234 5.510877 100 100 3x 100 ok
BMA 16 200 1 0.014114 0.000057 0.000068 1.411449 100 100 3x 100 ok
Stacking-Online 16 200 1 0.055153 0.055140 0.055250 5.515332 100 100 3x 100 ok
BMA 16 200 2 0.014130 0.000057 0.000067 1.412970 100 100 3x 100 ok
Stacking-Online 16 200 2 0.055217 0.055202 0.055351 5.521745 100 100 3x 100 ok
BMA 16 200 3 0.014166 0.000058 0.000068 1.416598 100 100 3x 100 ok
Stacking-Online 16 200 3 0.055115 0.055068 0.055486 5.511516 100 100 3x 100 ok
BMA 16 200 4 0.014175 0.000058 0.000068 1.417503 100 100 3x 100 ok
Stacking-Online 16 200 4 0.055183 0.055164 0.055395 5.518264 100 100 3x 100 ok
BMA 16 200 5 0.014143 0.000057 0.000068 1.414251 100 100 3x 100 ok
Stacking-Online 16 200 5 0.057217 0.055256 0.055438 5.721723 100 100 3x 100 ok
BMA 16 200 6 0.014145 0.000057 0.000069 1.414524 100 100 3x 100 ok
Stacking-Online 16 200 6 0.055102 0.055053 0.055314 5.510214 100 100 3x 100 ok
BMA 16 200 7 0.014143 0.000057 0.000068 1.414269 100 100 3x 100 ok
Stacking-Online 16 200 7 0.055094 0.055049 0.055400 5.509410 100 100 3x 100 ok
BMA 16 200 8 0.014155 0.000058 0.000067 1.415472 100 100 3x 100 ok
Stacking-Online 16 200 8 0.055244 0.055229 0.055364 5.524395 100 100 3x 100 ok
BMA 16 200 9 0.014149 0.000058 0.000069 1.414941 100 100 3x 100 ok
Stacking-Online 16 200 9 0.055058 0.055025 0.055208 5.505799 100 100 3x 100 ok
BMA 32 200 0 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 0 0.556545 0.556702 0.559750 55.654537 100 100 3x 100 ok
BMA 32 200 1 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 1 0.558903 0.556823 0.562549 55.890289 100 100 3x 100 ok
BMA 32 200 2 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 2 0.561592 0.558129 0.578675 56.159197 100 100 3x 100 ok
BMA 32 200 3 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 3 0.557426 0.555289 0.558471 55.742623 100 100 3x 100 ok
BMA 32 200 4 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 4 0.558843 0.556895 0.559761 55.884275 100 100 3x 100 ok
BMA 32 200 5 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 5 0.558961 0.557206 0.561193 55.896093 100 100 3x 100 ok
BMA 32 200 6 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 6 0.556664 0.556986 0.559799 55.666449 100 100 3x 100 ok
BMA 32 200 7 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 7 0.559039 0.559352 0.561187 55.903926 100 100 3x 100 ok
BMA 32 200 8 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 8 0.557877 0.557752 0.559646 55.787659 100 100 3x 100 ok
BMA 32 200 9 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 200 9 0.558364 0.556790 0.559866 55.836375 100 100 3x 100 ok
BMA 64 200 0 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 0 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 200 1 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 1 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 200 2 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 2 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 200 3 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 3 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 200 4 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 4 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 200 5 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 5 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 200 6 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 6 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 200 7 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 7 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 200 8 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 8 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 200 9 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 200 9 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 2 400 0 0.000324 0.000054 0.000068 0.064872 200 200 3x 100 ok
Stacking-Online 2 400 0 0.004817 0.004804 0.004837 0.963379 200 200 3x 100 ok
BMA 2 400 1 0.000326 0.000055 0.000069 0.065218 200 200 3x 100 ok
Stacking-Online 2 400 1 0.004749 0.004744 0.004771 0.949806 200 200 3x 100 ok
BMA 2 400 2 0.000329 0.000055 0.000071 0.065726 200 200 3x 100 ok
Stacking-Online 2 400 2 0.004739 0.004731 0.004757 0.947856 200 200 3x 100 ok
BMA 2 400 3 0.000330 0.000056 0.000068 0.065933 200 200 3x 100 ok
Stacking-Online 2 400 3 0.004747 0.004740 0.004768 0.949426 200 200 3x 100 ok
BMA 2 400 4 0.000330 0.000055 0.000068 0.065948 200 200 3x 100 ok
Stacking-Online 2 400 4 0.004751 0.004739 0.004847 0.950173 200 200 3x 100 ok
BMA 2 400 5 0.000325 0.000054 0.000073 0.064903 200 200 3x 100 ok
Stacking-Online 2 400 5 0.004745 0.004731 0.004855 0.948993 200 200 3x 100 ok
BMA 2 400 6 0.000325 0.000054 0.000067 0.064927 200 200 3x 100 ok
Stacking-Online 2 400 6 0.004816 0.004800 0.004922 0.963213 200 200 3x 100 ok
BMA 2 400 7 0.000330 0.000056 0.000068 0.065907 200 200 3x 100 ok
Stacking-Online 2 400 7 0.004737 0.004732 0.004753 0.947319 200 200 3x 100 ok
BMA 2 400 8 0.000326 0.000055 0.000067 0.065125 200 200 3x 100 ok
Stacking-Online 2 400 8 0.004751 0.004733 0.004866 0.950215 200 200 3x 100 ok
BMA 2 400 9 0.000329 0.000056 0.000068 0.065881 200 200 3x 100 ok
Stacking-Online 2 400 9 0.004739 0.004732 0.004761 0.947840 200 200 3x 100 ok
BMA 4 400 0 0.000551 0.000055 0.000066 0.110276 200 200 3x 100 ok
Stacking-Online 4 400 0 0.006572 0.006561 0.006590 1.314333 200 200 3x 100 ok
BMA 4 400 1 0.000552 0.000055 0.000069 0.110489 200 200 3x 100 ok
Stacking-Online 4 400 1 0.006566 0.006550 0.006680 1.313136 200 200 3x 100 ok
BMA 4 400 2 0.000561 0.000056 0.000072 0.112135 200 200 3x 100 ok
Stacking-Online 4 400 2 0.006573 0.006562 0.006599 1.314660 200 200 3x 100 ok
BMA 4 400 3 0.000551 0.000055 0.000069 0.110286 200 200 3x 100 ok
Stacking-Online 4 400 3 0.006558 0.006552 0.006575 1.311556 200 200 3x 100 ok
BMA 4 400 4 0.000552 0.000055 0.000070 0.110372 200 200 3x 100 ok
Stacking-Online 4 400 4 0.006575 0.006567 0.006598 1.314970 200 200 3x 100 ok
BMA 4 400 5 0.000552 0.000055 0.000066 0.110382 200 200 3x 100 ok
Stacking-Online 4 400 5 0.006659 0.006652 0.006684 1.331709 200 200 3x 100 ok
BMA 4 400 6 0.000552 0.000055 0.000068 0.110464 200 200 3x 100 ok
Stacking-Online 4 400 6 0.006563 0.006555 0.006583 1.312679 200 200 3x 100 ok
BMA 4 400 7 0.000552 0.000055 0.000066 0.110327 200 200 3x 100 ok
Stacking-Online 4 400 7 0.006559 0.006554 0.006583 1.311764 200 200 3x 100 ok
BMA 4 400 8 0.000551 0.000056 0.000067 0.110258 200 200 3x 100 ok
Stacking-Online 4 400 8 0.006687 0.006678 0.006709 1.337497 200 200 3x 100 ok
BMA 4 400 9 0.000553 0.000055 0.000067 0.110629 200 200 3x 100 ok
Stacking-Online 4 400 9 0.006564 0.006557 0.006585 1.312729 200 200 3x 100 ok
BMA 8 400 0 0.001601 0.000055 0.000067 0.320291 200 200 3x 100 ok
Stacking-Online 8 400 0 0.012300 0.012290 0.012333 2.459922 200 200 3x 100 ok
BMA 8 400 1 0.001598 0.000054 0.000067 0.319518 200 200 3x 100 ok
Stacking-Online 8 400 1 0.012292 0.012279 0.012334 2.458438 200 200 3x 100 ok
BMA 8 400 2 0.001601 0.000054 0.000067 0.320294 200 200 3x 100 ok
Stacking-Online 8 400 2 0.012255 0.012246 0.012287 2.450957 200 200 3x 100 ok
BMA 8 400 3 0.001627 0.000056 0.000066 0.325414 200 200 3x 100 ok
Stacking-Online 8 400 3 0.012301 0.012288 0.012339 2.460110 200 200 3x 100 ok
BMA 8 400 4 0.001599 0.000055 0.000067 0.319700 200 200 3x 100 ok
Stacking-Online 8 400 4 0.012323 0.012312 0.012353 2.464574 200 200 3x 100 ok
BMA 8 400 5 0.001606 0.000055 0.000068 0.321149 200 200 3x 100 ok
Stacking-Online 8 400 5 0.012327 0.012318 0.012358 2.465309 200 200 3x 100 ok
BMA 8 400 6 0.001605 0.000055 0.000068 0.320950 200 200 3x 100 ok
Stacking-Online 8 400 6 0.012289 0.012283 0.012316 2.457777 200 200 3x 100 ok
BMA 8 400 7 0.001606 0.000055 0.000067 0.321273 200 200 3x 100 ok
Stacking-Online 8 400 7 0.012504 0.012485 0.012553 2.500805 200 200 3x 100 ok
BMA 8 400 8 0.001603 0.000055 0.000066 0.320615 200 200 3x 100 ok
Stacking-Online 8 400 8 0.012313 0.012303 0.012344 2.462583 200 200 3x 100 ok
BMA 8 400 9 0.001636 0.000056 0.000070 0.327176 200 200 3x 100 ok
Stacking-Online 8 400 9 0.012326 0.012312 0.012355 2.465110 200 200 3x 100 ok
BMA 16 400 0 0.007099 0.000057 0.000063 1.419756 200 200 3x 100 ok
Stacking-Online 16 400 0 0.023813 0.023770 0.023922 4.762620 200 200 3x 100 ok
BMA 16 400 1 0.007207 0.000058 0.000066 1.441468 200 200 3x 100 ok
Stacking-Online 16 400 1 0.023347 0.023336 0.023384 4.669432 200 200 3x 100 ok
BMA 16 400 2 0.007088 0.000057 0.000065 1.417561 200 200 3x 100 ok
Stacking-Online 16 400 2 0.023247 0.023239 0.023283 4.649352 200 200 3x 100 ok
BMA 16 400 3 0.007096 0.000057 0.000068 1.419219 200 200 3x 100 ok
Stacking-Online 16 400 3 0.023690 0.023673 0.023749 4.738024 200 200 3x 100 ok
BMA 16 400 4 0.007090 0.000057 0.000063 1.417990 200 200 3x 100 ok
Stacking-Online 16 400 4 0.023260 0.023249 0.023313 4.651933 200 200 3x 100 ok
BMA 16 400 5 0.007089 0.000057 0.000065 1.417807 200 200 3x 100 ok
Stacking-Online 16 400 5 0.023271 0.023256 0.023319 4.654240 200 200 3x 100 ok
BMA 16 400 6 0.007203 0.000058 0.000069 1.440574 200 200 3x 100 ok
Stacking-Online 16 400 6 0.023317 0.023302 0.023371 4.663313 200 200 3x 100 ok
BMA 16 400 7 0.007088 0.000057 0.000064 1.417662 200 200 3x 100 ok
Stacking-Online 16 400 7 0.023360 0.023344 0.023409 4.672009 200 200 3x 100 ok
BMA 16 400 8 0.007088 0.000057 0.000066 1.417575 200 200 3x 100 ok
Stacking-Online 16 400 8 0.023322 0.023315 0.023383 4.664376 200 200 3x 100 ok
BMA 16 400 9 0.007075 0.000057 0.000065 1.414925 200 200 3x 100 ok
Stacking-Online 16 400 9 0.023404 0.023399 0.023466 4.680774 200 200 3x 100 ok
BMA 32 400 0 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 0 0.510977 0.510625 0.513841 102.195391 200 200 3x 100 ok
BMA 32 400 1 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 1 0.500951 0.500595 0.503535 100.190233 200 200 3x 100 ok
BMA 32 400 2 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 2 0.501996 0.500087 0.503027 100.399224 200 200 3x 100 ok
BMA 32 400 3 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 3 0.510901 0.510709 0.513250 102.180120 200 200 3x 100 ok
BMA 32 400 4 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 4 0.510060 0.509800 0.512132 102.011913 200 200 3x 100 ok
BMA 32 400 5 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 5 0.516802 0.511339 0.522971 103.360423 200 200 3x 100 ok
BMA 32 400 6 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 6 0.514185 0.511702 0.515457 102.837017 200 200 3x 100 ok
BMA 32 400 7 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 7 0.510937 0.510630 0.514250 102.187318 200 200 3x 100 ok
BMA 32 400 8 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 8 0.508146 0.507891 0.511393 101.629244 200 200 3x 100 ok
BMA 32 400 9 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 32 400 9 0.511687 0.511034 0.517362 102.337329 200 200 3x 100 ok
BMA 64 400 0 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 0 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 400 1 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 1 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 400 2 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 2 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 400 3 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 3 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 400 4 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 4 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 400 5 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 5 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 400 6 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 6 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 400 7 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 7 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 400 8 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 8 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 64 400 9 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
Stacking-Online 64 400 9 200.000000 200.000000 200.000000 200.000000 0 0 3x 100 timeout
BMA 2 800 0 0.000421 0.000056 0.000071 0.168440 400 400 3x 100 ok
Stacking-Online 2 800 0 0.004842 0.004771 0.005103 1.936757 400 400 3x 100 ok
BMA 2 800 1 0.000421 0.000056 0.000069 0.168332 400 400 3x 100 ok
Stacking-Online 2 800 1 0.004780 0.004778 0.004799 1.912023 400 400 3x 100 ok
BMA 2 800 2 0.000427 0.000057 0.000070 0.170773 400 400 3x 100 ok
Stacking-Online 2 800 2 0.004778 0.004773 0.004793 1.911358 400 400 3x 100 ok
BMA 2 800 3 0.000419 0.000056 0.000069 0.167745 400 400 3x 100 ok
Stacking-Online 2 800 3 0.005142 0.004767 0.004788 2.056807 400 400 3x 100 ok
BMA 2 800 4 0.000421 0.000055 0.000069 0.168357 400 400 3x 100 ok
Stacking-Online 2 800 4 0.004859 0.004858 0.004876 1.943659 400 400 3x 100 ok
BMA 2 800 5 0.000425 0.000057 0.000069 0.169827 400 400 3x 100 ok
Stacking-Online 2 800 5 0.004790 0.004786 0.004812 1.916063 400 400 3x 100 ok
BMA 2 800 6 0.000426 0.000057 0.000067 0.170498 400 400 3x 100 ok
Stacking-Online 2 800 6 0.004779 0.004776 0.004796 1.911559 400 400 3x 100 ok
BMA 2 800 7 0.000428 0.000057 0.000069 0.171132 400 400 3x 100 ok
Stacking-Online 2 800 7 0.005326 0.004858 0.004889 2.130408 400 400 3x 100 ok
BMA 2 800 8 0.000425 0.000057 0.000070 0.170189 400 400 3x 100 ok
Stacking-Online 2 800 8 0.004859 0.004858 0.004876 1.943507 400 400 3x 100 ok
BMA 2 800 9 0.000425 0.000057 0.000070 0.170170 400 400 3x 100 ok
Stacking-Online 2 800 9 0.005133 0.004763 0.004786 2.053388 400 400 3x 100 ok
BMA 4 800 0 0.000668 0.000055 0.000067 0.267387 400 400 3x 100 ok
Stacking-Online 4 800 0 0.008274 0.007800 0.007839 3.309737 400 400 3x 100 ok
BMA 4 800 1 0.000676 0.000057 0.000068 0.270394 400 400 3x 100 ok
Stacking-Online 4 800 1 0.007669 0.007664 0.007695 3.067564 400 400 3x 100 ok
BMA 4 800 2 0.000667 0.000055 0.000067 0.266699 400 400 3x 100 ok
Stacking-Online 4 800 2 0.007812 0.007808 0.007843 3.124853 400 400 3x 100 ok
BMA 4 800 3 0.000677 0.000056 0.000070 0.270679 400 400 3x 100 ok
Stacking-Online 4 800 3 0.008286 0.007813 0.007857 3.314453 400 400 3x 100 ok
BMA 4 800 4 0.000678 0.000057 0.000069 0.271138 400 400 3x 100 ok
Stacking-Online 4 800 4 0.008279 0.007811 0.007840 3.311517 400 400 3x 100 ok
BMA 4 800 5 0.000667 0.000055 0.000068 0.266907 400 400 3x 100 ok
Stacking-Online 4 800 5 0.007807 0.007801 0.007833 3.122668 400 400 3x 100 ok
BMA 4 800 6 0.000676 0.000056 0.000067 0.270398 400 400 3x 100 ok
Stacking-Online 4 800 6 0.007808 0.007802 0.007830 3.123102 400 400 3x 100 ok
BMA 4 800 7 0.000676 0.000057 0.000068 0.270473 400 400 3x 100 ok
Stacking-Online 4 800 7 0.008293 0.007824 0.007851 3.317171 400 400 3x 100 ok
BMA 4 800 8 0.000677 0.000057 0.000069 0.270906 400 400 3x 100 ok
Stacking-Online 4 800 8 0.007674 0.007669 0.007695 3.069572 400 400 3x 100 ok
BMA 4 800 9 0.000676 0.000057 0.000069 0.270467 400 400 3x 100 ok
Stacking-Online 4 800 9 0.007831 0.007828 0.007852 3.132277 400 400 3x 100 ok
BMA 8 800 0 0.001845 0.000060 0.000070 0.737913 400 400 3x 100 ok
Stacking-Online 8 800 0 0.014234 0.014224 0.014265 5.693783 400 400 3x 100 ok
BMA 8 800 1 0.001845 0.000059 0.000071 0.738175 400 400 3x 100 ok
Stacking-Online 8 800 1 0.014219 0.014210 0.014257 5.687665 400 400 3x 100 ok
BMA 8 800 2 0.001815 0.000059 0.000070 0.725901 400 400 3x 100 ok
Stacking-Online 8 800 2 0.014266 0.014255 0.014316 5.706382 400 400 3x 100 ok
BMA 8 800 3 0.001812 0.000059 0.000072 0.724973 400 400 3x 100 ok
Stacking-Online 8 800 3 0.014602 0.014234 0.014301 5.840982 400 400 3x 100 ok
BMA 8 800 4 0.001813 0.000059 0.000070 0.725169 400 400 3x 100 ok
Stacking-Online 8 800 4 0.014646 0.014264 0.014357 5.858203 400 400 3x 100 ok
BMA 8 800 5 0.001844 0.000060 0.000070 0.737696 400 400 3x 100 ok
Stacking-Online 8 800 5 0.014227 0.014213 0.014271 5.690633 400 400 3x 100 ok
BMA 8 800 6 0.001818 0.000059 0.000069 0.727063 400 400 3x 100 ok
Stacking-Online 8 800 6 0.014235 0.014219 0.014274 5.693820 400 400 3x 100 ok
BMA 8 800 7 0.001845 0.000060 0.000070 0.737969 400 400 3x 100 ok
Stacking-Online 8 800 7 0.014601 0.014221 0.014285 5.840206 400 400 3x 100 ok
BMA 8 800 8 0.001845 0.000060 0.000070 0.737897 400 400 3x 100 ok
Stacking-Online 8 800 8 0.014222 0.014212 0.014263 5.688616 400 400 3x 100 ok
BMA 8 800 9 0.001848 0.000059 0.000069 0.739158 400 400 3x 100 ok
Stacking-Online 8 800 9 0.014742 0.014269 0.014321 5.896973 400 400 3x 100 ok
BMA 16 800 0 0.010164 0.000057 0.000066 4.065508 400 400 3x 100 ok
Stacking-Online 16 800 0 0.053377 0.052876 0.053111 21.350756 400 400 3x 100 ok
BMA 16 800 1 0.010150 0.000056 0.000065 4.060140 400 400 3x 100 ok
Stacking-Online 16 800 1 0.054723 0.052791 0.053057 21.889066 400 400 3x 100 ok
BMA 16 800 2 0.010159 0.000057 0.000065 4.063706 400 400 3x 100 ok
Stacking-Online 16 800 2 0.053506 0.051596 0.051820 21.402325 400 400 3x 100 ok
BMA 16 800 3 0.010136 0.000057 0.000066 4.054462 400 400 3x 100 ok
Stacking-Online 16 800 3 0.054204 0.053032 0.053222 21.681743 400 400 3x 100 ok
BMA 16 800 4 0.010148 0.000056 0.000066 4.059148 400 400 3x 100 ok
Stacking-Online 16 800 4 0.055094 0.053197 0.053349 22.037422 400 400 3x 100 ok
BMA 16 800 5 0.010148 0.000056 0.000066 4.059389 400 400 3x 100 ok
Stacking-Online 16 800 5 0.053456 0.052986 0.053184 21.382244 400 400 3x 100 ok
BMA 16 800 6 0.010152 0.000056 0.000065 4.060690 400 400 3x 100 ok
Stacking-Online 16 800 6 0.054751 0.052850 0.053032 21.900247 400 400 3x 100 ok
BMA 16 800 7 0.010143 0.000056 0.000066 4.057400 400 400 3x 100 ok
