method vars sample run_id time median p95 total stream warmup drift retrain_every status
BMA 2 200 0 0.000279 0.000058 0.000068 0.027888 100 100 3x 100 ok
Stacking-Online 2 200 0 0.005905 0.005891 0.005925 0.590538 100 100 3x 100 ok
BMA 2 200 1 0.000278 0.000058 0.000070 0.027844 100 100 3x 100 ok
Stacking-Online 2 200 1 0.005923 0.005912 0.005944 0.592298 100 100 3x 100 ok
BMA 2 200 2 0.000279 0.000056 0.000066 0.027912 100 100 3x 100 ok
Stacking-Online 2 200 2 0.005927 0.005917 0.005948 0.592706 100 100 3x 100 ok
BMA 2 200 3 0.000278 0.000058 0.000068 0.027812 100 100 3x 100 ok
Stacking-Online 2 200 3 0.005917 0.005907 0.005938 0.591698 100 100 3x 100 ok
BMA 2 200 4 0.000279 0.000057 0.000073 0.027914 100 100 3x 100 ok
Stacking-Online 2 200 4 0.005918 0.005910 0.005948 0.591826 100 100 3x 100 ok
BMA 2 200 5 0.000278 0.000058 0.000066 0.027845 100 100 3x 100 ok
Stacking-Online 2 200 5 0.005923 0.005911 0.005942 0.592289 100 100 3x 100 ok
BMA 2 200 6 0.000278 0.000056 0.000066 0.027791 100 100 3x 100 ok
Stacking-Online 2 200 6 0.005919 0.005912 0.005945 0.591933 100 100 3x 100 ok
BMA 2 200 7 0.000279 0.000057 0.000072 0.027861 100 100 3x 100 ok
Stacking-Online 2 200 7 0.005909 0.005901 0.005933 0.590912 100 100 3x 100 ok
BMA 2 200 8 0.000278 0.000058 0.000067 0.027820 100 100 3x 100 ok
Stacking-Online 2 200 8 0.005911 0.005905 0.005937 0.591086 100 100 3x 100 ok
BMA 2 200 9 0.000278 0.000057 0.000066 0.027768 100 100 3x 100 ok
Stacking-Online 2 200 9 0.005908 0.005901 0.005933 0.590792 100 100 3x 100 ok
BMA 4 200 0 0.000501 0.000059 0.000067 0.050094 100 100 3x 100 ok
Stacking-Online 4 200 0 0.008328 0.008297 0.008380 0.832780 100 100 3x 100 ok
BMA 4 200 1 0.000504 0.000060 0.000069 0.050412 100 100 3x 100 ok
Stacking-Online 4 200 1 0.008300 0.008272 0.008433 0.830045 100 100 3x 100 ok
BMA 4 200 2 0.000501 0.000058 0.000068 0.050117 100 100 3x 100 ok
Stacking-Online 4 200 2 0.008322 0.008298 0.008455 0.832191 100 100 3x 100 ok
BMA 4 200 3 0.000502 0.000059 0.000068 0.050209 100 100 3x 100 ok
Stacking-Online 4 200 3 0.008318 0.008300 0.008332 0.831845 100 100 3x 100 ok
BMA 4 200 4 0.000503 0.000059 0.000066 0.050253 100 100 3x 100 ok
Stacking-Online 4 200 4 0.008316 0.008290 0.008332 0.831619 100 100 3x 100 ok
BMA 4 200 5 0.000503 0.000059 0.000067 0.050267 100 100 3x 100 ok
Stacking-Online 4 200 5 0.008315 0.008291 0.008333 0.831547 100 100 3x 100 ok
BMA 4 200 6 0.000504 0.000059 0.000068 0.050394 100 100 3x 100 ok
Stacking-Online 4 200 6 0.008308 0.008291 0.008327 0.830768 100 100 3x 100 ok
BMA 4 200 7 0.000502 0.000058 0.000067 0.050214 100 100 3x 100 ok
Stacking-Online 4 200 7 0.008322 0.008296 0.008339 0.832196 100 100 3x 100 ok
BMA 4 200 8 0.000505 0.000059 0.000067 0.050460 100 100 3x 100 ok
Stacking-Online 4 200 8 0.008329 0.008309 0.008354 0.832873 100 100 3x 100 ok
BMA 4 200 9 0.000503 0.000059 0.000065 0.050283 100 100 3x 100 ok
Stacking-Online 4 200 9 0.008324 0.008307 0.008338 0.832407 100 100 3x 100 ok
BMA 8 200 0 0.002042 0.000059 0.000067 0.204187 100 100 3x 100 ok
Stacking-Online 8 200 0 0.019650 0.019623 0.019705 1.964950 100 100 3x 100 ok
BMA 8 200 1 0.002052 0.000060 0.000066 0.205215 100 100 3x 100 ok
Stacking-Online 8 200 1 0.019699 0.019675 0.019739 1.969933 100 100 3x 100 ok
BMA 8 200 2 0.002047 0.000060 0.000067 0.204693 100 100 3x 100 ok
Stacking-Online 8 200 2 0.019601 0.019572 0.019638 1.960140 100 100 3x 100 ok
BMA 8 200 3 0.002048 0.000059 0.000068 0.204824 100 100 3x 100 ok
Stacking-Online 8 200 3 0.019636 0.019608 0.019685 1.963577 100 100 3x 100 ok
BMA 8 200 4 0.002052 0.000060 0.000067 0.205178 100 100 3x 100 ok
Stacking-Online 8 200 4 0.019679 0.019644 0.019718 1.967942 100 100 3x 100 ok
