method	precision	recall	F1	brier
Stacking-Online	0.620438	0.482955	0.543131	0.200436
Stacking-Offline	0.648438	0.471591	0.546053	0.199658
BMA	0.620438	0.482955	0.543131	0.199291
Best-Logit	0.622222	0.477273	0.540193	0.199261
