method	precision	recall	F1	brier
Stacking-Online	0.534314	0.519048	0.52657	0.239473
Stacking-Offline	0.609375	0.371429	0.461538	0.265104
BMA	0.613139	0.4	0.48415	0.268138
Best-Logit	0.607407	0.390476	0.475362	0.27008
