method	precision	recall	F1	brier
Stacking-Online	0.511719	0.574561	0.541322	0.258042
Stacking-Offline	0.523438	0.29386	0.376404	0.312372
BMA	0.49635	0.298246	0.372603	0.316656
Best-Logit	0.488889	0.289474	0.363636	0.318678
