method	precision	recall	F1	brier
Stacking-Online	0.54902	0.625	0.584551	0.244051
Stacking-Offline	0.546875	0.3125	0.397727	0.296332
BMA	0.554745	0.339286	0.421053	0.300187
Best-Logit	0.555556	0.334821	0.417827	0.302047
