method	precision	recall	F1	brier
Stacking-Online	0.601399	0.472527	0.529231	0.211144
Stacking-Offline	0.609375	0.428571	0.503226	0.215079
BMA	0.627737	0.472527	0.539185	0.216528
Best-Logit	0.62963	0.467033	0.536278	0.217664
