method	precision	recall	F1	brier
Stacking-Online	0.557252	0.579365	0.568093	0.26388
Stacking-Offline	0.476562	0.242063	0.321053	0.375973
BMA	0.437956	0.238095	0.308483	0.380546
Best-Logit	0.437037	0.234127	0.30491	0.382655
