method	precision	recall	F1	brier
Stacking-Online	0.621849	0.468354	0.534296	0.189771
Stacking-Offline	0.609375	0.493671	0.545455	0.187638
BMA	0.59854	0.518987	0.555932	0.18841
Best-Logit	0.6	0.512658	0.552901	0.188911
