method	precision	recall	F1	brier
Stacking-Online	0.561644	0.44086	0.493976	0.22664
Stacking-Offline	0.578125	0.397849	0.471338	0.23487
BMA	0.562044	0.413978	0.47678	0.23733
Best-Logit	0.562963	0.408602	0.47352	0.238467
