method	precision	recall	F1	brier
Stacking-Online	0.860262	0.845494	0.852814	0.119611
Stacking-Offline	0.666667	0.678112	0.67234	0.309653
BMA	0.669725	0.626609	0.64745	0.261419
Best-Logit	0.68018	0.648069	0.663736	0.327988
