method vars sample run_id time median p95 total stream warmup drift retrain_every status
Stacking-Online 16 800 6 0.055076 0.053121 0.053475 22.030215 400 400 1x 100 ok
BMA 16 800 7 0.022977 0.000058 0.000068 9.190753 400 400 1x 100 ok
Stacking-Online 16 800 7 0.054844 0.052910 0.053053 21.937453 400 400 1x 100 ok
BMA 16 800 8 0.022974 0.000058 0.000067 9.189701 400 400 1x 100 ok
Stacking-Online 16 800 8 0.053837 0.052648 0.052802 21.534692 400 400 1x 100 ok
BMA 16 800 9 0.023063 0.000058 0.000067 9.225215 400 400 1x 100 ok
Stacking-Online 16 800 9 0.054749 0.052752 0.053424 21.899788 400 400 1x 100 ok
BMA 32 800 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 800 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 800 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 800 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 800 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 800 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 800 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 800 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 800 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 800 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 800 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 800 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 800 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 2 1600 0 0.000711 0.000056 0.000068 0.568653 800 800 1x 100 ok
Stacking-Online 2 1600 0 0.004918 0.004885 0.005214 3.934430 800 800 1x 100 ok
BMA 2 1600 1 0.000711 0.000056 0.000068 0.568768 800 800 1x 100 ok
Stacking-Online 2 1600 1 0.004952 0.004882 0.004897 3.961580 800 800 1x 100 ok
BMA 2 1600 2 0.000714 0.000056 0.000069 0.571188 800 800 1x 100 ok
Stacking-Online 2 1600 2 0.004889 0.004885 0.004900 3.911019 800 800 1x 100 ok
BMA 2 1600 3 0.000710 0.000056 0.000070 0.568163 800 800 1x 100 ok
Stacking-Online 2 1600 3 0.004959 0.004890 0.004904 3.966850 800 800 1x 100 ok
BMA 2 1600 4 0.000706 0.000055 0.000068 0.564698 800 800 1x 100 ok
Stacking-Online 2 1600 4 0.004956 0.004887 0.004901 3.965033 800 800 1x 100 ok
BMA 2 1600 5 0.000712 0.000056 0.000069 0.569816 800 800 1x 100 ok
Stacking-Online 2 1600 5 0.004971 0.004896 0.004914 3.976505 800 800 1x 100 ok
BMA 2 1600 6 0.000704 0.000054 0.000066 0.562823 800 800 1x 100 ok
Stacking-Online 2 1600 6 0.004966 0.004895 0.004909 3.973003 800 800 1x 100 ok
BMA 2 1600 7 0.000712 0.000056 0.000068 0.569661 800 800 1x 100 ok
Stacking-Online 2 1600 7 0.004960 0.004887 0.004905 3.968338 800 800 1x 100 ok
BMA 2 1600 8 0.000714 0.000056 0.000068 0.571592 800 800 1x 100 ok
Stacking-Online 2 1600 8 0.004889 0.004886 0.004903 3.911582 800 800 1x 100 ok
BMA 2 1600 9 0.000711 0.000056 0.000069 0.568880 800 800 1x 100 ok
Stacking-Online 2 1600 9 0.004963 0.004892 0.004909 3.970297 800 800 1x 100 ok
BMA 4 1600 0 0.001107 0.000056 0.000068 0.885620 800 800 1x 100 ok
Stacking-Online 4 1600 0 0.007728 0.007726 0.007751 6.182485 800 800 1x 100 ok
BMA 4 1600 1 0.001109 0.000056 0.000069 0.887538 800 800 1x 100 ok
Stacking-Online 4 1600 1 0.008282 0.007854 0.007885 6.625269 800 800 1x 100 ok
BMA 4 1600 2 0.001098 0.000055 0.000067 0.878662 800 800 1x 100 ok
Stacking-Online 4 1600 2 0.007860 0.007858 0.007884 6.287711 800 800 1x 100 ok
BMA 4 1600 3 0.001107 0.000056 0.000068 0.885786 800 800 1x 100 ok
Stacking-Online 4 1600 3 0.008267 0.007842 0.007864 6.613215 800 800 1x 100 ok
BMA 4 1600 4 0.001108 0.000056 0.000069 0.886294 800 800 1x 100 ok
Stacking-Online 4 1600 4 0.008141 0.007722 0.007743 6.512942 800 800 1x 100 ok
BMA 4 1600 5 0.001107 0.000056 0.000067 0.885722 800 800 1x 100 ok
Stacking-Online 4 1600 5 0.008318 0.007893 0.007915 6.654435 800 800 1x 100 ok
BMA 4 1600 6 0.001093 0.000055 0.000067 0.874757 800 800 1x 100 ok
Stacking-Online 4 1600 6 0.008303 0.007881 0.007903 6.642687 800 800 1x 100 ok
BMA 4 1600 7 0.001110 0.000056 0.000069 0.887771 800 800 1x 100 ok
Stacking-Online 4 1600 7 0.008304 0.007881 0.007905 6.643331 800 800 1x 100 ok
BMA 4 1600 8 0.001110 0.000056 0.000069 0.888003 800 800 1x 100 ok
Stacking-Online 4 1600 8 0.008134 0.007716 0.007745 6.507383 800 800 1x 100 ok
BMA 4 1600 9 0.001111 0.000056 0.000069 0.888429 800 800 1x 100 ok
Stacking-Online 4 1600 9 0.008274 0.007849 0.007878 6.619446 800 800 1x 100 ok
BMA 8 1600 0 0.004123 0.000057 0.000070 3.298049 800 800 1x 100 ok
Stacking-Online 8 1600 0 0.022844 0.022697 0.023354 18.275213 800 800 1x 100 ok
BMA 8 1600 1 0.004112 0.000057 0.000070 3.289401 800 800 1x 100 ok
Stacking-Online 8 1600 1 0.023151 0.022634 0.022717 18.520835 800 800 1x 100 ok
BMA 8 1600 2 0.004117 0.000057 0.000070 3.293633 800 800 1x 100 ok
Stacking-Online 8 1600 2 0.022753 0.022675 0.022727 18.202001 800 800 1x 100 ok
BMA 8 1600 3 0.004118 0.000056 0.000070 3.294051 800 800 1x 100 ok
Stacking-Online 8 1600 3 0.022786 0.022711 0.022750 18.228707 800 800 1x 100 ok
BMA 8 1600 4 0.004117 0.000057 0.000070 3.293961 800 800 1x 100 ok
Stacking-Online 8 1600 4 0.022828 0.022750 0.022793 18.262795 800 800 1x 100 ok
BMA 8 1600 5 0.004118 0.000057 0.000069 3.294392 800 800 1x 100 ok
Stacking-Online 8 1600 5 0.023191 0.022677 0.022743 18.552456 800 800 1x 100 ok
BMA 8 1600 6 0.004117 0.000056 0.000069 3.293950 800 800 1x 100 ok
Stacking-Online 8 1600 6 0.022749 0.022669 0.022716 18.199076 800 800 1x 100 ok
BMA 8 1600 7 0.004120 0.000057 0.000070 3.295920 800 800 1x 100 ok
Stacking-Online 8 1600 7 0.022774 0.022701 0.022747 18.219204 800 800 1x 100 ok
BMA 8 1600 8 0.004115 0.000057 0.000069 3.292306 800 800 1x 100 ok
Stacking-Online 8 1600 8 0.022799 0.022725 0.022794 18.239492 800 800 1x 100 ok
BMA 8 1600 9 0.004122 0.000057 0.000069 3.297928 800 800 1x 100 ok
Stacking-Online 8 1600 9 0.022726 0.022644 0.022727 18.180751 800 800 1x 100 ok
BMA 16 1600 0 0.044332 0.000059 0.000066 35.465467 800 800 1x 100 ok
Stacking-Online 16 1600 0 0.063283 0.062051 0.062352 50.626222 800 800 1x 100 ok
BMA 16 1600 1 0.044961 0.000060 0.000068 35.968873 800 800 1x 100 ok
Stacking-Online 16 1600 1 0.063645 0.062729 0.063044 50.916172 800 800 1x 100 ok
BMA 16 1600 2 0.044985 0.000060 0.000067 35.987767 800 800 1x 100 ok
Stacking-Online 16 1600 2 0.063553 0.063095 0.063332 50.842598 800 800 1x 100 ok
BMA 16 1600 3 0.044956 0.000060 0.000068 35.964468 800 800 1x 100 ok
Stacking-Online 16 1600 3 0.063674 0.063228 0.063387 50.939198 800 800 1x 100 ok
BMA 16 1600 4 0.044970 0.000059 0.000068 35.975675 800 800 1x 100 ok
Stacking-Online 16 1600 4 0.064028 0.063150 0.063338 51.222002 800 800 1x 100 ok
BMA 16 1600 5 0.044889 0.000059 0.000067 35.911188 800 800 1x 100 ok
Stacking-Online 16 1600 5 0.063851 0.062956 0.063283 51.080651 800 800 1x 100 ok
BMA 16 1600 6 0.044926 0.000059 0.000068 35.941195 800 800 1x 100 ok
Stacking-Online 16 1600 6 0.063434 0.062186 0.062705 50.747268 800 800 1x 100 ok
BMA 16 1600 7 0.044900 0.000060 0.000068 35.919756 800 800 1x 100 ok
Stacking-Online 16 1600 7 0.064397 0.063178 0.063335 51.517679 800 800 1x 100 ok
BMA 16 1600 8 0.044878 0.000059 0.000067 35.902058 800 800 1x 100 ok
Stacking-Online 16 1600 8 0.064170 0.063248 0.063679 51.336102 800 800 1x 100 ok
BMA 16 1600 9 0.044992 0.000060 0.000068 35.993870 800 800 1x 100 ok
Stacking-Online 16 1600 9 0.063607 0.063113 0.063442 50.885899 800 800 1x 100 ok
BMA 32 1600 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 1600 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 1600 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 1600 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 1600 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 1600 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 1600 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 1600 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 1600 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 1600 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 1600 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 1600 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 1600 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 2 3200 0 0.001103 0.000054 0.000065 1.765311 1600 1600 1x 100 ok
Stacking-Online 2 3200 0 0.005941 0.005406 0.005549 9.506168 1600 1600 1x 100 ok
BMA 2 3200 1 0.001099 0.000054 0.000064 1.758670 1600 1600 1x 100 ok
Stacking-Online 2 3200 1 0.006094 0.005394 0.005413 9.749890 1600 1600 1x 100 ok
BMA 2 3200 2 0.001102 0.000054 0.000065 1.763038 1600 1600 1x 100 ok
Stacking-Online 2 3200 2 0.005911 0.005385 0.005406 9.457464 1600 1600 1x 100 ok
BMA 2 3200 3 0.001105 0.000054 0.000065 1.767663 1600 1600 1x 100 ok
Stacking-Online 2 3200 3 0.005742 0.005396 0.005413 9.187527 1600 1600 1x 100 ok
BMA 2 3200 4 0.001102 0.000054 0.000065 1.763422 1600 1600 1x 100 ok
Stacking-Online 2 3200 4 0.005769 0.005421 0.005440 9.230110 1600 1600 1x 100 ok
BMA 2 3200 5 0.001104 0.000054 0.000066 1.766690 1600 1600 1x 100 ok
Stacking-Online 2 3200 5 0.005767 0.005419 0.005438 9.227539 1600 1600 1x 100 ok
BMA 2 3200 6 0.001105 0.000054 0.000065 1.768717 1600 1600 1x 100 ok
Stacking-Online 2 3200 6 0.005941 0.005416 0.005433 9.505612 1600 1600 1x 100 ok
BMA 2 3200 7 0.001106 0.000054 0.000065 1.770106 1600 1600 1x 100 ok
Stacking-Online 2 3200 7 0.005912 0.005387 0.005405 9.458470 1600 1600 1x 100 ok
BMA 2 3200 8 0.001105 0.000054 0.000065 1.768019 1600 1600 1x 100 ok
Stacking-Online 2 3200 8 0.005935 0.005408 0.005427 9.495239 1600 1600 1x 100 ok
BMA 2 3200 9 0.001105 0.000054 0.000065 1.767498 1600 1600 1x 100 ok
Stacking-Online 2 3200 9 0.005913 0.005401 0.005423 9.461234 1600 1600 1x 100 ok
BMA 4 3200 0 0.001537 0.000054 0.000065 2.458662 1600 1600 1x 100 ok
Stacking-Online 4 3200 0 0.008150 0.007828 0.007853 13.040444 1600 1600 1x 100 ok
BMA 4 3200 1 0.001542 0.000054 0.000066 2.467281 1600 1600 1x 100 ok
Stacking-Online 4 3200 1 0.008140 0.007815 0.007840 13.024423 1600 1600 1x 100 ok
BMA 4 3200 2 0.001533 0.000054 0.000065 2.452555 1600 1600 1x 100 ok
Stacking-Online 4 3200 2 0.008138 0.007816 0.007845 13.021592 1600 1600 1x 100 ok
BMA 4 3200 3 0.001534 0.000054 0.000065 2.453832 1600 1600 1x 100 ok
Stacking-Online 4 3200 3 0.008123 0.007798 0.007828 12.997511 1600 1600 1x 100 ok
BMA 4 3200 4 0.001532 0.000054 0.000065 2.451370 1600 1600 1x 100 ok
Stacking-Online 4 3200 4 0.008129 0.007804 0.007827 13.005852 1600 1600 1x 100 ok
BMA 4 3200 5 0.001528 0.000054 0.000066 2.444970 1600 1600 1x 100 ok
Stacking-Online 4 3200 5 0.008159 0.007834 0.007861 13.054579 1600 1600 1x 100 ok
BMA 4 3200 6 0.001538 0.000054 0.000066 2.461335 1600 1600 1x 100 ok
Stacking-Online 4 3200 6 0.008157 0.007833 0.007856 13.050569 1600 1600 1x 100 ok
BMA 4 3200 7 0.001529 0.000054 0.000065 2.446233 1600 1600 1x 100 ok
Stacking-Online 4 3200 7 0.008135 0.007815 0.007834 13.016743 1600 1600 1x 100 ok
BMA 4 3200 8 0.001532 0.000054 0.000066 2.451894 1600 1600 1x 100 ok
Stacking-Online 4 3200 8 0.008161 0.007835 0.007859 13.057646 1600 1600 1x 100 ok
BMA 4 3200 9 0.001533 0.000054 0.000066 2.452304 1600 1600 1x 100 ok
Stacking-Online 4 3200 9 0.008112 0.007796 0.007823 12.979383 1600 1600 1x 100 ok
BMA 8 3200 0 0.004571 0.000055 0.000067 7.314390 1600 1600 1x 100 ok
Stacking-Online 8 3200 0 0.026020 0.025243 0.026722 41.631293 1600 1600 1x 100 ok
BMA 8 3200 1 0.004568 0.000055 0.000066 7.309204 1600 1600 1x 100 ok
Stacking-Online 8 3200 1 0.025955 0.025180 0.026643 41.527620 1600 1600 1x 100 ok
BMA 8 3200 2 0.004564 0.000055 0.000066 7.302123 1600 1600 1x 100 ok
Stacking-Online 8 3200 2 0.025568 0.025154 0.025705 40.909203 1600 1600 1x 100 ok
BMA 8 3200 3 0.004566 0.000054 0.000066 7.304872 1600 1600 1x 100 ok
Stacking-Online 8 3200 3 0.025499 0.025175 0.025232 40.798440 1600 1600 1x 100 ok
BMA 8 3200 4 0.004570 0.000055 0.000066 7.312756 1600 1600 1x 100 ok
Stacking-Online 8 3200 4 0.026167 0.025115 0.025178 41.866993 1600 1600 1x 100 ok
BMA 8 3200 5 0.004560 0.000054 0.000066 7.296318 1600 1600 1x 100 ok
Stacking-Online 8 3200 5 0.025613 0.025241 0.025306 40.981567 1600 1600 1x 100 ok
BMA 8 3200 6 0.004557 0.000054 0.000066 7.290956 1600 1600 1x 100 ok
Stacking-Online 8 3200 6 0.025791 0.025103 0.025192 41.265073 1600 1600 1x 100 ok
BMA 8 3200 7 0.004557 0.000054 0.000066 7.291728 1600 1600 1x 100 ok
Stacking-Online 8 3200 7 0.025366 0.025035 0.025108 40.584862 1600 1600 1x 100 ok
BMA 8 3200 8 0.004501 0.000053 0.000064 7.201558 1600 1600 1x 100 ok
Stacking-Online 8 3200 8 0.025427 0.025081 0.025159 40.683005 1600 1600 1x 100 ok
BMA 8 3200 9 0.004553 0.000054 0.000066 7.284270 1600 1600 1x 100 ok
Stacking-Online 8 3200 9 0.025515 0.025192 0.025260 40.824179 1600 1600 1x 100 ok
BMA 16 3200 0 0.047936 0.000056 0.000067 76.697112 1600 1600 1x 100 ok
Stacking-Online 16 3200 0 0.056336 0.055614 0.055853 90.138285 1600 1600 1x 100 ok
BMA 16 3200 1 0.047861 0.000056 0.000068 76.577726 1600 1600 1x 100 ok
Stacking-Online 16 3200 1 0.055858 0.055465 0.055815 89.372885 1600 1600 1x 100 ok
BMA 16 3200 2 0.047230 0.000055 0.000065 75.567459 1600 1600 1x 100 ok
Stacking-Online 16 3200 2 0.056010 0.055643 0.055796 89.616486 1600 1600 1x 100 ok
BMA 16 3200 3 0.047248 0.000055 0.000066 75.596807 1600 1600 1x 100 ok
Stacking-Online 16 3200 3 0.055828 0.055425 0.055886 89.325063 1600 1600 1x 100 ok
BMA 16 3200 4 0.047237 0.000055 0.000065 75.579000 1600 1600 1x 100 ok
Stacking-Online 16 3200 4 0.055483 0.055448 0.055694 88.772544 1600 1600 1x 100 ok
BMA 16 3200 5 0.047227 0.000055 0.000065 75.562969 1600 1600 1x 100 ok
Stacking-Online 16 3200 5 0.056940 0.056553 0.056955 91.104155 1600 1600 1x 100 ok
BMA 16 3200 6 0.047876 0.000056 0.000067 76.601556 1600 1600 1x 100 ok
Stacking-Online 16 3200 6 0.056565 0.056524 0.056754 90.503575 1600 1600 1x 100 ok
BMA 16 3200 7 0.047306 0.000055 0.000066 75.689257 1600 1600 1x 100 ok
Stacking-Online 16 3200 7 0.057287 0.056517 0.057139 91.659463 1600 1600 1x 100 ok
BMA 16 3200 8 0.047887 0.000056 0.000067 76.619707 1600 1600 1x 100 ok
Stacking-Online 16 3200 8 0.056500 0.056475 0.056644 90.400230 1600 1600 1x 100 ok
BMA 16 3200 9 0.047822 0.000056 0.000067 76.514739 1600 1600 1x 100 ok
Stacking-Online 16 3200 9 0.057072 0.056314 0.056734 91.314536 1600 1600 1x 100 ok
BMA 32 3200 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 3200 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 3200 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 3200 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 3200 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 3200 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 3200 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 3200 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 3200 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 32 3200 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 3200 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 3200 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 3200 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 2 6400 0 0.001978 0.000055 0.000067 6.330891 3200 3200 1x 100 ok
Stacking-Online 2 6400 0 0.005541 0.005451 0.005470 17.730503 3200 3200 1x 100 ok
BMA 2 6400 1 0.001978 0.000055 0.000066 6.329488 3200 3200 1x 100 ok
Stacking-Online 2 6400 1 0.005546 0.005457 0.005476 17.748755 3200 3200 1x 100 ok
BMA 2 6400 2 0.001953 0.000055 0.000066 6.249948 3200 3200 1x 100 ok
Stacking-Online 2 6400 2 0.005549 0.005460 0.005477 17.755759 3200 3200 1x 100 ok
BMA 2 6400 3 0.001978 0.000055 0.000067 6.329837 3200 3200 1x 100 ok
Stacking-Online 2 6400 3 0.005553 0.005464 0.005481 17.770495 3200 3200 1x 100 ok
BMA 2 6400 4 0.001960 0.000055 0.000067 6.272904 3200 3200 1x 100 ok
Stacking-Online 2 6400 4 0.005540 0.005452 0.005471 17.729338 3200 3200 1x 100 ok
BMA 2 6400 5 0.001955 0.000055 0.000066 6.255500 3200 3200 1x 100 ok
Stacking-Online 2 6400 5 0.005556 0.005467 0.005484 17.778832 3200 3200 1x 100 ok
BMA 2 6400 6 0.001952 0.000055 0.000066 6.247290 3200 3200 1x 100 ok
Stacking-Online 2 6400 6 0.005532 0.005442 0.005460 17.701198 3200 3200 1x 100 ok
BMA 2 6400 7 0.001965 0.000055 0.000066 6.287821 3200 3200 1x 100 ok
Stacking-Online 2 6400 7 0.005543 0.005454 0.005472 17.738559 3200 3200 1x 100 ok
BMA 2 6400 8 0.001976 0.000055 0.000067 6.322205 3200 3200 1x 100 ok
