method	precision	recall	F1	brier
Stacking-Online	0.558824	0.387755	0.457831	0.239915
Stacking-Offline	0.570312	0.372449	0.450617	0.254929
BMA	0.540146	0.377551	0.444444	0.256974
Best-Logit	0.533333	0.367347	0.435045	0.257875
