type	model	RE	success
Stacking	Stacking	0.01913579757634658	TRUE
Stacking	Stacking	0.022877931504719465	TRUE
Stacking	Stacking	0.0031377526838852494	TRUE
Stacking	Stacking	0.021993256715318443	TRUE
Stacking	Stacking	0.002038334531432263	TRUE
Stacking	Stacking	0.0402044223499612	TRUE
Stacking	Stacking	0.037916111222709506	FALSE
Stacking	Stacking	0.0004646649339723936	FALSE
Stacking	Stacking	0.015196799584544764	TRUE
Stacking	Stacking	0.08276870822149536	FALSE
Stacking	Stacking	0.09473626984755501	TRUE
Stacking	Stacking	0.0077078434111791765	TRUE
Stacking	Stacking	0.00987575981491799	TRUE
Stacking	Stacking	0.015090484831962013	TRUE
Stacking	Stacking	0.004286282610593909	TRUE
Stacking	Stacking	0.013634573565838136	TRUE
Stacking	Stacking	0.03893531732627917	FALSE
Stacking	Stacking	0.0003405810371620751	TRUE
Stacking	Stacking	0.034736108566760175	TRUE
Stacking	Stacking	0.024278625685575938	TRUE
Stacking	Stacking	0.01925395532544805	TRUE
Stacking	Stacking	0.019596346045123104	FALSE
Stacking	Stacking	0.028988602862221463	TRUE
Stacking	Stacking	0.08957219489431102	FALSE
Stacking	Stacking	0.04824395387291366	FALSE
Stacking	Stacking	0.004272965927983707	TRUE
Stacking	Stacking	0.04223433140942518	TRUE
Stacking	Stacking	0.026642655632039297	TRUE
Stacking	Stacking	0.009782262017587447	TRUE
Stacking	Stacking	0.001376156821219054	TRUE
Stacking	Stacking	0.008804980796362806	TRUE
Stacking	Stacking	0.011508903649247457	TRUE
Stacking	Stacking	0.0033065215688816815	TRUE
Stacking	Stacking	0.03475176909861891	TRUE
Stacking	Stacking	0.04062530369321857	TRUE
Stacking	Stacking	0.010102775517214986	TRUE
Stacking	Stacking	0.07428708994416887	FALSE
Stacking	Stacking	0.01930518111600744	TRUE
Stacking	Stacking	0.016383870813385094	TRUE
Stacking	Stacking	0.04278015279538241	TRUE
Stacking	Stacking	0.020671987773291624	TRUE
Stacking	Stacking	0.021603158270912252	TRUE
Stacking	Stacking	0.014347836412413233	TRUE
Stacking	Stacking	0.06358734500221094	FALSE
Stacking	Stacking	0.027277277456462214	TRUE
Stacking	Stacking	0.010764680800894265	TRUE
Stacking	Stacking	0.013687726792488957	TRUE
Stacking	Stacking	0.01564660351679499	TRUE
Stacking	Stacking	0.019433510157211988	FALSE
Stacking	Stacking	0.013606082855900613	FALSE
Stacking	Stacking	0.01757295924164499	TRUE
Stacking	Stacking	0.08877602602639455	FALSE
Stacking	Stacking	0.04764308753383251	TRUE
Stacking	Stacking	0.027125280460875277	TRUE
Stacking	Stacking	0.008071748276174328	TRUE
Stacking	Stacking	0.0259884149784076	FALSE
Stacking	Stacking	0.005101821967014377	FALSE
Stacking	Stacking	0.007145182959680631	TRUE
Stacking	Stacking	0.01674705805129923	TRUE
Stacking	Stacking	0.04450967849356363	TRUE
Stacking	Stacking	0.00010530057718204764	FALSE
Stacking	Stacking	0.041973116300262334	TRUE
Stacking	Stacking	0.0021387371027068213	TRUE
Stacking	Stacking	0.0020195127904378027	TRUE
Stacking	Stacking	0.030317545787731465	TRUE
Stacking	Stacking	0.05715562311632332	TRUE
Stacking	Stacking	0.04702649480399683	FALSE
Stacking	Stacking	0.07946221051485292	FALSE
Stacking	Stacking	0.02406533164957532	TRUE
Stacking	Stacking	0.04043393824053682	TRUE
Stacking	Stacking	0.029777029410668204	TRUE
Stacking	Stacking	0.0004795402932213315	TRUE
Stacking	Stacking	0.008804431126469421	TRUE
Stacking	Stacking	0.008485883969804325	TRUE
Stacking	Stacking	0.03615757413860523	TRUE
Stacking	Stacking	0.002351725042418655	TRUE
Stacking	Stacking	0.027008872189073073	TRUE
Stacking	Stacking	0.0020079637033823053	FALSE
Stacking	Stacking	0.05261940235521661	TRUE
Stacking	Stacking	0.009261263799191451	TRUE
Stacking	Stacking	0.04211841070375234	FALSE
Stacking	Stacking	0.045410038161021876	TRUE
Stacking	Stacking	0.007699221423603282	TRUE
Stacking	Stacking	0.011368996026014652	TRUE
Stacking	Stacking	0.005200570721083081	TRUE
Stacking	Stacking	0.0325301024583632	TRUE
Stacking	Stacking	0.016281368540084672	TRUE
Stacking	Stacking	0.024468229237953342	FALSE
Stacking	Stacking	0.0030739830712987293	TRUE
Stacking	Stacking	0.019364309516401428	TRUE
Stacking	Stacking	0.03688555993103243	TRUE
Stacking	Stacking	0.03573309090512078	TRUE
Stacking	Stacking	0.02407059695842259	TRUE
Stacking	Stacking	0.030987016730392652	TRUE
Stacking	Stacking	0.018432410451661926	FALSE
Stacking	Stacking	0.0103009433975781	TRUE
Stacking	Stacking	0.037328718752777545	TRUE
Stacking	Stacking	0.02042243510596723	TRUE
Stacking	Stacking	0.02495784732811064	TRUE
Stacking	Stacking	0.025738438582111823	TRUE
Stacking	Stacking	0.016556248574815306	TRUE
Stacking	Stacking	0.010414168840177327	TRUE
Stacking	Stacking	0.016151390689766957	TRUE
Stacking	Stacking	0.03163421446000081	TRUE
Stacking	Stacking	0.01473036604185826	TRUE
Stacking	Stacking	0.016752695990615626	TRUE
Stacking	Stacking	0.007844847653994355	TRUE
Stacking	Stacking	0.01542859099386752	TRUE
Stacking	Stacking	0.01992720486990698	TRUE
Stacking	Stacking	0.014067902761235904	TRUE
Stacking	Stacking	0.07128520785691349	FALSE
Stacking	Stacking	0.04330110498511626	TRUE
Stacking	Stacking	0.04367902177728526	TRUE
Stacking	Stacking	0.028245539928300884	TRUE
Stacking	Stacking	0.07736912081332925	FALSE
Stacking	Stacking	0.022897060756504863	TRUE
Stacking	Stacking	0.012109768011821972	TRUE
Stacking	Stacking	0.024105453132375387	TRUE
Stacking	Stacking	0.005894878937765198	TRUE
Stacking	Stacking	0.018139892310382644	TRUE
Stacking	Stacking	0.07268991590747446	FALSE
Stacking	Stacking	0.06398370660537564	FALSE
Stacking	Stacking	0.04240980278134491	TRUE
Stacking	Stacking	0.007981878076426457	TRUE
Stacking	Stacking	0.007387045795588445	TRUE
Stacking	Stacking	0.02231471474221689	TRUE
Stacking	Stacking	0.015555288865086244	TRUE
Stacking	Stacking	0.014836921196551127	TRUE
Stacking	Stacking	0.03786318961820673	TRUE
